first_name,last_name,date_of_birth,sender_card_number,receiver_cc_number,transaction_amount,transaction_date,is_fraud
Matthew Torres,Jacob Jones,2012-07-05,5550688337417955,2276094621810882,56851.47,2022-03-21 00:42:54,0
Jordan Bradley,Dana Walker,1977-07-14,2271398629216959,2295198200100073,47038.71,2022-09-06 04:13:44,0
Robert Roberts,Dakota Melendez,2007-09-15,5547224879864770,2241932556825361,86848.56,2022-06-09 06:37:33,0
Chelsea Keith,Matthew Rhodes,1992-06-20,2706852918062214,5322822064320762,27263.57,2022-02-02 07:52:31,0
Diana Johnson,Jonathan Willis,2006-05-25,2264868770290200,5185664234358470,97037.95,2022-02-23 09:50:30,0
Cory Thomas,Cameron Dean,2009-09-20,2286611119638729,2612692102786407,90824.41,2022-06-03 12:39:10,0
Roger Lawrence,Raymond Simmons,1956-11-11,5325570472105351,2264081575029555,76804.93,2022-09-28 07:26:17,0
Mrs. Amanda Holt,Kristy Mueller,1990-11-17,2254220765986248,2260565166348147,18700.14,2022-03-12 04:25:53,0
Robert Holmes,Lori White,1921-01-01,2720598931211682,2268601965768060,11818.70,2022-09-13 21:59:31,1
Scott Moran,Brian Rosales,1967-02-23,2231935473090342,2250571044481532,65081.00,2022-03-27 18:37:37,0
Blake Becker,Anthony Taylor,1991-12-12,5362367039679315,2248513019406735,87167.81,2022-02-20 15:53:36,0
Curtis Rice,Geoffrey Vargas,1916-05-02,2261057687899625,2232366930787057,43795.51,2022-10-10 22:29:21,0
Jeremy Harris,Jean Duran,1969-10-07,5505520630306898,5190821206409128,65299.11,2022-06-21 05:25:16,0
George Porter,Kathleen Johnson,1937-04-19,5110542353444240,2513111180327190,76854.69,2022-10-31 18:26:12,0
Brandon Morrow,Tyler Holland,1993-05-25,2334256693546971,2554999917543240,57546.73,2022-08-19 22:10:04,0
Melissa Bennett,Laura Roberts,1980-04-10,5266878307331626,2438436840881944,85885.86,2022-06-08 08:12:38,0
Shannon Doyle,Mallory Abbott,1986-01-27,2341723468391363,5111778853500664,35275.49,2022-01-30 18:10:15,0
Michael Taylor,Jody Reed,1921-12-24,2720955500040183,2295265795321610,34794.14,2022-10-22 16:43:34,0
Thomas Long,William Carpenter,1988-03-17,2249742511389193,2720504127680755,29900.50,2022-11-16 17:56:14,0
Nicole Hardy,Jonathan Davis,1989-09-02,2566634842164319,2239611722187302,34235.54,2022-03-29 12:01:42,0
Leah Moore,Gregory Thomas,2011-02-18,2224415376645186,2520392915077885,33226.66,2022-03-27 00:28:20,0
Steven Snyder,Brandon Escobar,2016-11-01,5112507229918436,5596632812716388,49545.15,2022-03-23 13:26:10,0
April Harris,Daniel Washington,1912-04-22,2718035940190304,2720449951310337,68660.00,2022-03-16 13:42:12,0
Ryan Bullock,Dominic Johnson,1947-05-19,2586033886783496,2240266026296296,74545.46,2022-07-16 19:03:59,0
Jessica Allen,Jeffrey Martin,1920-02-12,5476484390309151,5292055737102582,91934.13,2022-06-28 06:46:37,0
Douglas Ruiz,Mary Coffey,2003-01-27,2263958781493421,2237866755359275,52116.22,2022-06-28 22:46:30,0
Miss Melissa Hill,Jennifer Sosa,1909-08-24,5404604407801323,2566456801782463,29201.98,2022-01-07 23:45:21,0
Gregory Myers,Madison Dorsey,1955-08-14,2277765751210469,5367021373117045,88540.99,2022-07-15 12:22:43,0
Tamara Medina,Samantha Weber,1937-11-18,2684257819068516,5365300412111884,70675.21,2022-06-20 06:05:37,0
Ann Hammond,Christopher Sanders,1922-01-15,2369237744139477,2288932019954208,38384.64,2022-10-08 14:51:40,0
Johnny Paul,Michael Ballard,2005-11-23,2720217015938876,2247190758358236,81087.52,2022-09-29 15:50:20,0
Christopher Shepard,Robin Adams,1984-06-05,2494626370657976,5504412762005269,68034.16,2022-10-14 10:29:57,0
Elizabeth Mueller,Richard Williams,1948-11-12,2273415127364871,2225151237725573,12131.04,2022-03-28 22:23:09,0
Sarah Jenkins,Terrance Schmidt,1908-04-24,2670776897919460,2467167580304631,1228.96,2022-02-10 15:37:48,0
Donald Warner,Justin Miller,1970-08-21,5298656964563430,2710396804922564,99254.11,2022-11-02 02:14:11,0
Beth Lucero,Richard Cervantes,1957-12-28,5542237113316535,2705143376423879,26.00,2022-11-03 04:46:44,0
Cheryl Durham,Thomas Hamilton,1913-02-02,2714620451546582,2518396614530791,5430.19,2022-10-14 01:57:19,0
Heather Holt,Rachel Brown,2006-11-26,2289874323628491,2238184172858781,50191.69,2022-01-18 12:59:38,0
Bryan Cole,James Nash,1924-07-14,5428403884920884,2226493681226388,68795.25,2022-10-09 06:46:11,0
Benjamin Quinn,William Bauer,1976-08-30,2720756810380214,2241140959132506,65425.42,2022-07-31 10:35:12,0
Joseph Cox,Donna Howard,2021-11-02,5306106733179241,2714524357249582,28154.12,2022-08-24 08:09:14,0
Charles Kaiser,Morgan Nelson,1907-09-04,5143469646135784,2340550496855247,30018.18,2022-06-26 23:21:20,0
Melissa Walker,Bonnie Bond,1911-04-09,5526518029300030,2258372115012666,92363.23,2022-08-06 11:47:08,0
Cathy Johnson,Heather Harvey,2013-05-01,2269063308832211,5389377026372526,57751.21,2022-11-10 13:24:39,0
Kenneth Edwards,Karen Russell,1978-03-02,2383885568554510,2328658489344453,49984.47,2022-03-27 04:13:15,0
Caitlin Butler,Stacey Rowland,1947-02-04,5417298139441436,5178735299764890,78726.69,2022-02-05 08:55:05,0
Joseph Ortega,Diane Johnson,2008-11-23,2704135501109127,2299102590886693,64571.62,2022-05-20 12:52:01,0
Brandon Thomas,Nancy Jackson,1974-07-28,5206080522908782,2280134697280646,41811.63,2022-03-13 14:50:37,0
Alexander Mcfarland,Jonathan Pope,1924-06-12,2275330441299539,5587036497821482,20721.73,2022-06-29 13:57:09,0
Christopher Howard,Timothy Griffin,2003-09-13,2225614241651416,2271835810986395,5185.95,2022-07-19 09:46:40,0
John Schmidt,Anthony Young,1922-08-01,2355677777274962,5325534960573660,1569.03,2022-11-04 23:14:48,0
Brenda Austin,Jennifer Roberts,1957-09-23,2223384569570661,5117610721282270,85662.70,2022-07-24 00:21:20,0
Maria Wilson,Jennifer Smith,1934-10-10,2288244842674791,2225351825954789,66262.80,2022-01-22 00:35:18,0
Manuel Smith,Cesar Dunlap,1984-12-19,2720082494354924,2638498887941468,99859.44,2022-03-17 01:42:23,0
Elizabeth Esparza,Jeffrey Wright,1949-09-05,5144384635349420,2465556647736136,56539.72,2022-09-06 19:49:38,0
Whitney Joseph,Donald Schultz III,1908-08-26,2300834604600184,2268428122355692,9128.10,2022-07-05 06:04:27,0
Ethan Brown,Kimberly Ruiz,2021-04-20,2252922015048123,2290043710756755,60869.49,2022-06-18 16:00:10,0
William Brown,Leslie Edwards,1934-09-07,2278807702311688,5241898669224854,52444.62,2022-01-26 12:14:39,0
David Bennett,Steven Fox,2008-08-23,2508612363631131,2368945163499724,42122.06,2022-01-25 15:37:42,0
Anthony Bruce,Mr. Jesus Moore,2011-07-07,2274334113559577,2239522484280658,98832.10,2022-05-11 08:56:05,0
Mrs. Nichole Walker,Matthew Mills,2002-02-14,2514400125152568,5299059413339198,68098.28,2022-02-19 21:09:51,0
Kimberly Simpson,Michael Rice,1981-12-06,2713364121489169,2289630241659764,23086.84,2022-06-02 11:38:12,0
Richard Jones,Gabriel Taylor,1999-02-24,2299794013801554,2292582303686489,51802.57,2022-10-17 18:53:23,0
Miss Mary Alvarez DDS,James Conner,1912-05-31,2261142353539166,2281380614781161,85391.73,2022-05-19 20:32:41,0
Mary Rodriguez,Jason Turner,2005-11-20,2296215134407587,2707606706409931,16987.63,2022-11-15 16:15:07,0
Joshua Macdonald,Sherry Reynolds,1941-09-11,2539684610514371,2503847656799642,613.09,2022-01-18 18:56:45,0
Vincent Roberts,Christine Cross MD,2017-10-10,2248897678111938,5425186218119249,35031.16,2022-07-18 13:34:08,0
Bobby Miller,Stephanie Fisher,1930-05-09,2705254848076201,5375277683197560,41586.10,2022-03-26 13:20:46,0
Erin Browning,Manuel Lyons,1931-04-02,2720171027646367,5155714370489278,18916.37,2022-02-09 16:21:50,0
Elizabeth Thompson,Eugene Marshall,1965-10-21,2234320671338958,5120389995936938,742.32,2022-08-16 00:51:29,0
Dawn Mccullough,Maria Williams,1979-05-17,5331733104825620,2276729866185900,24156.82,2022-08-02 21:41:39,0
Jennifer Young,Jessica Hogan,1959-03-11,2641463403299135,2253177186914673,42478.53,2022-05-11 13:15:44,0
Dr. Kenneth Simpson MD,David Knight,2004-06-07,5186429786806618,2720357143036548,10486.92,2022-08-18 07:29:47,0
James Wang,Edward York,1920-07-07,2284546161857946,5181186386451980,82340.19,2022-05-16 22:44:53,0
Charles Wagner,Joseph Gilmore,1928-09-26,2246941667295716,2354075531973006,99890.14,2022-09-11 18:39:52,0
Claudia Hutchinson,Barbara Wang,2013-02-26,5235466702552182,5318004031635087,19946.63,2022-07-27 23:39:52,0
Troy Church,Carla Young,1937-12-14,2228620536886994,2229076148803589,62814.60,2022-10-13 23:05:13,0
Anthony Madden,Rachel Zimmerman,1954-07-01,5297138005244792,5400598795640216,61502.81,2022-05-22 03:46:25,0
James Rivera,Joshua Nelson,1956-09-06,2708052884424146,2253396983926694,22519.40,2022-05-05 23:21:18,0
Robert Jones,Patrick Gay,1935-01-01,2256597568648267,2270970152426196,73140.60,2022-11-14 14:13:18,0
Erica Phillips,Melissa Brown,1934-02-11,2720796627105040,5471926634942580,32541.79,2022-01-06 02:48:30,0
David Mccullough,Sonya Frazier,1965-09-02,2295682413398327,2715410488553069,21212.11,2022-05-09 23:50:18,0
Teresa Kline,Corey Marshall,1971-11-23,2224458773204157,2682112181983366,41200.08,2022-06-22 11:42:35,0
Victor Hernandez,Robert Montes,1963-06-07,2242700568758477,5570525287781756,4505.24,2022-05-09 15:57:35,0
Krystal Robinson,Mr. Jose Lewis DDS,1918-01-23,5347234734816560,2240244359646460,52773.43,2022-08-30 18:54:22,0
Ashley Wade,Shawn Ewing,2000-05-20,5512473828457662,5262820061338250,23273.55,2022-07-15 02:38:14,0
Carl Barry,Austin Neal,2021-02-10,2405030021975291,2358993623993086,17457.39,2022-10-07 22:31:24,0
Mark Gomez,Jessica Preston DVM,1913-03-30,2287683696752123,2338596347549657,36330.12,2022-03-31 13:36:44,0
Nicole Edwards,Dana Williams,1981-05-06,2288227245835705,5587379394353583,3454.91,2022-01-15 18:55:30,0
Kim Proctor,Kyle Yang,1930-11-25,2486375052604852,2227414808152827,7222.05,2022-05-18 09:07:15,0
Jennifer Leonard,Ryan Salas,1998-08-17,5435523840692508,2506013279110223,69065.23,2022-02-06 06:19:32,0
Victor Knight,Angela Perez,1966-07-01,5291865779475659,5574044803598260,57120.93,2022-11-01 13:14:00,0
Kevin Williams,Jon Wolf,1972-06-19,5409454190536412,5441296160538468,94202.93,2022-03-20 15:12:09,0
Christina Hawkins,Catherine Watts,2005-03-03,2627581047219876,2629634199719389,49760.63,2022-06-02 04:19:33,0
Anthony Boyd,Philip Gonzalez,2021-08-20,2646543011539520,2245468822332540,14554.10,2022-05-22 00:10:33,0
Anna Nunez,Michele Bowers,1967-01-15,2380971554170868,2524788887171778,66643.63,2022-08-03 10:58:02,0
Melissa West,Robert Willis,1943-10-10,2257149235289205,5213308426606660,25306.19,2022-08-30 02:03:01,0
Colton Foster MD,Cheryl Ray,1955-01-16,2241800898716038,5410757055176059,13698.28,2022-08-13 16:50:39,0
Tiffany Crawford,Ernest Gray,1924-02-08,2246917925282795,5443046798215544,80317.09,2022-07-14 04:05:21,0
Tracy Jones,Ronald Walker,1988-05-16,2292593478977025,5388224387781112,20376.80,2022-06-13 18:46:59,0
David Shaffer,Deborah Odonnell,2020-07-19,5216720444268991,2230257888571738,31925.05,2022-05-17 22:08:40,0
Jennifer Cannon,Melissa Rich,1980-11-07,2720064333239862,2233920083924468,99145.72,2022-02-13 21:14:22,0
Christian Koch,Jeffrey Winters,1994-06-02,2222873522563087,2720542465703037,30533.59,2022-04-01 01:42:32,0
Mrs. Sheila Hawkins,Richard Bryan,1981-10-10,2292251382217471,5579121275086654,66276.03,2022-04-22 06:51:35,0
Abigail Benitez,Terri Donaldson,1997-08-10,2582514484445749,2241146939896417,13711.22,2022-04-25 11:17:07,0
Frank West,John Pratt DDS,2008-04-21,2297530523918203,2635177963882324,72174.39,2022-05-28 16:59:01,0
Alexandria Davenport,Emily Freeman,1985-01-19,2265940511642517,2538079540408052,42591.50,2022-09-07 17:46:06,0
Ann Snow,Alice Graham,1907-02-08,2247516943552681,5229178330514553,77400.56,2022-07-14 07:12:57,0
Robert Mcclain,Allison Tran,2022-09-17,5157933582412393,5229633712988783,84299.12,2022-09-24 17:18:35,0
Tiffany Pearson,Aaron Crawford,1951-05-13,2718098309348897,5456137751371186,93167.06,2022-08-13 11:51:18,0
Tanner Richards,Mathew Miller,1988-01-03,2242964722368942,5376051670112455,73929.92,2022-08-14 16:15:09,0
Luke Davis,Robert Ayala,2013-12-11,2715183437747690,2284585181481485,47277.47,2022-07-02 14:07:47,0
Richard James,Cynthia Wheeler,1914-08-05,2242989702277508,2248790261167179,88057.68,2022-04-09 13:28:31,0
James Mcmillan,David King,1950-10-24,2717138544574146,2286773983029367,97767.92,2022-06-29 15:08:23,0
Michael Ramirez,Kelli Reyes,1996-01-16,5312305983384137,2239768378929427,91954.94,2022-10-07 18:17:15,0
Chad Gilbert,Peter Davis,1997-05-18,2293822682904320,5445160140076153,74893.34,2022-11-01 02:11:12,0
Michael Hernandez,Kimberly Bradley,1985-01-01,2248060990271928,2709446286439067,96844.18,2022-03-31 08:31:44,0
Gina Roberts,Kyle Davis,1957-11-14,5242740752772747,2269922014423187,14413.74,2022-06-09 21:26:25,0
Annette Jones,Jeffrey Castillo,1928-01-04,5327857869015337,2447402723179565,51450.59,2022-03-24 19:57:54,0
Stephen Thompson,Lauren Mcdonald,2000-07-25,5486594873941367,2632097200642476,88939.28,2022-03-02 03:28:01,0
Jessica Galvan DDS,Steven Kelley,1965-06-19,5169086762879604,2232077616792853,23031.07,2022-01-15 15:48:42,0
Heather Lloyd,Kimberly Martinez,1909-01-19,2233730433456644,2258409710825629,67290.74,2022-07-13 13:01:37,0
Megan Hamilton,Angela Hall,1926-02-01,2373464159247678,2384549171921339,44083.77,2022-01-11 17:26:23,0
Andrew Sanders,Lori Chapman,1913-01-06,5549957472475076,2266128591565746,21350.52,2022-09-01 18:40:19,0
Timothy Peters,Katherine Quinn,1970-08-29,2690638147994519,2323637781624056,19615.11,2022-05-02 02:21:27,0
Mary Harding,Brandon Winters,1928-02-11,5413560716588622,5106403380455509,10518.04,2022-01-30 11:08:37,0
William Powell,Allen Sheppard,1925-12-09,5121066158526586,5290065793783862,85661.14,2022-08-25 13:40:47,0
Joanna Mckee,Jennifer Orozco,1939-07-03,2222026250332825,2706641933993820,96766.07,2022-01-04 03:40:11,0
Michael Logan,Michael Ward,1949-05-17,2236150724547828,5418991861154131,45325.27,2022-04-27 03:02:07,0
Stephen Mathis,Brian Davis,2020-12-25,2279748552432019,2423173400828752,18231.54,2022-11-11 03:28:50,0
Christine Acosta,Molly Mahoney,1917-01-31,5312961591763961,2272537794644110,9678.13,2022-09-22 18:59:20,0
Dustin Woods,Dr. Danny Watson,1987-04-23,2701160982510661,2264256540137119,80375.37,2022-02-01 11:19:33,0
Elizabeth Henderson,Mathew Rasmussen,1962-01-20,2275145381459327,2273495935234888,15421.83,2022-11-04 03:00:41,0
Katherine Chan,David Wolfe,1989-07-07,2221475261009065,5265369536659129,2030.61,2022-10-10 06:31:02,0
Wendy Wilson,Michelle Walton,1996-08-18,2714797523315442,2487592727563433,85360.96,2022-03-10 08:43:19,0
Caleb Lee,Ryan Burton,1910-10-06,2229778255346258,2690305717373538,55589.81,2022-09-08 11:20:17,0
Tyler Day,Jamie Horn,1964-02-01,2720035887391143,2221494960819260,42466.05,2022-02-16 14:28:18,0
Emily Powell,Joseph Ryan,1972-04-10,2237552965835474,2720188836369320,8619.55,2022-03-17 18:08:51,0
Melanie Mcdonald,Sharon Price,1972-12-30,2227760392055143,5205200206147363,57157.25,2022-05-10 17:08:03,0
Daniel Morris,Jeremiah Myers,1939-08-03,2248280097134098,2718052618250880,75551.48,2022-04-28 13:07:11,0
Christina Elliott MD,Dale Olson,2018-04-12,2257402300378035,2227534035063578,91811.72,2022-09-06 10:53:37,0
Dorothy Smith,Erin Smith,1916-08-13,2263062504630631,5525885969465912,6794.30,2022-06-20 07:47:48,0
Alexis Fischer,David Snow,1995-09-18,5385830653570618,2269472319361617,42518.06,2022-01-26 06:17:51,0
Mallory Mcclure,Monica Allen,1934-11-21,2253719408012867,2714287622037501,53273.26,2022-07-27 05:15:40,0
Michael Morris,Matthew Sheppard,1924-01-23,2334563474465697,5327569249437731,14569.47,2022-05-27 10:56:53,0
Jessica Castro,Mary Collins,1947-12-29,2709075258906769,2270031645244413,58190.57,2022-08-20 16:16:15,0
Bill Mathis,Gary Brown,1966-11-23,2654269566289571,2673564202335334,12052.25,2022-09-25 06:41:40,0
Susan Lam,Jeremy Dillon,1990-07-26,2405927320615868,2224967479105369,21037.60,2022-11-09 16:55:32,0
Sherri Williams,Roy Wright,1924-05-11,2288482094127031,5291630556936251,97648.13,2022-02-16 09:35:37,0
Lori Joseph,Sharon Carroll,1908-10-21,2465066895755630,5573459977145733,59150.82,2022-06-30 04:47:14,0
Carrie Guerrero,Steven Payne,1998-03-08,2600049428714353,2244531773381815,19056.54,2022-02-08 00:16:45,0
Latoya Friedman,Jonathan Wood,1928-03-10,2720339232970639,2607701381638093,89682.02,2022-06-27 12:08:08,0
Daniel Simpson,April Flores,2012-12-20,2508210247105669,2259487967528335,41148.85,2022-04-01 21:32:07,0
Ms. Brenda Hansen,Timothy Moore,1986-07-15,2286659941289088,2323584034273424,10237.53,2022-08-16 21:44:13,0
Mr. Brandon Allen DDS,Mary Day,1996-02-24,5546647681964167,2646724753410894,87581.50,2022-03-31 17:45:05,0
Sandra Rangel,Victoria Greene,1941-03-30,2268685399808550,2708071864261807,48207.50,2022-09-01 22:24:30,0
Karina Paul,Brent Long,1938-08-26,2718389135428395,2235484751597435,20441.71,2022-03-15 06:39:55,0
Patricia Mejia,Johnny David,1917-04-02,5403035100897360,2509825334297860,55754.99,2022-06-26 14:01:38,0
Tricia Young,Kelly Olsen,1926-06-07,2719430582357551,2720212152392136,90139.68,2022-03-31 15:08:42,0
Mariah Turner,Mitchell Sanchez,1920-03-22,2719707875640789,2270041731229699,4619.98,2022-09-15 04:43:03,0
Paul Adams,Colin Carter,2018-04-06,5588753973206223,5335617541399842,63888.16,2022-09-21 08:19:48,0
Arthur Middleton,Sharon Mendoza,1979-05-18,2261539506730248,2269177861499711,43251.09,2022-01-07 13:41:36,0
Brandon Phillips,Amanda Anderson,1965-01-16,5156988030009903,2450285531564811,68748.19,2022-05-05 02:34:17,0
Melissa Contreras,Nicole King,2006-02-05,5509607493427196,2568773769207368,58131.76,2022-02-18 14:06:38,0
Savannah Long,Jason Williams,1951-05-28,2562527688332848,5541350120773779,24175.79,2022-08-22 06:57:15,0
Misty Nelson,Dawn Garza,1987-11-08,5179188240501699,2241741390459992,4012.93,2022-05-02 05:22:47,0
Richard Hopkins,Audrey Garcia,1956-09-18,5340522637901605,2649753315428364,20566.25,2022-05-06 21:30:31,0
Jason Becker,Joseph Torres,2022-07-08,5547868569853186,2308497646140056,29706.69,2022-06-22 20:18:32,0
Marissa Wilson,Melissa Patterson,1961-09-01,2228732810864264,2222866119955989,389.29,2022-06-23 08:47:13,0
Jack Byrd,Cody Aguirre,2016-05-04,2277882296536124,2510236339904665,83436.79,2022-05-24 18:17:24,0
Cameron Walker,Morgan Walton,1962-09-30,2274348440873477,5148831672834777,62484.91,2022-01-19 02:24:09,0
Evelyn Price,Lindsay Nelson,1938-12-20,2720784454629779,2273184341510053,77153.95,2022-09-07 16:16:06,0
Charles Rios,Amy Williams,1993-04-29,2248305662137968,2253327727145945,28255.68,2022-08-30 11:31:10,0
Gerald Lopez,Regina Jordan,1952-05-20,2581302952678442,5438467492498458,86285.44,2022-10-09 05:30:53,0
Colleen Greene,Rebekah Morrison,2016-08-12,2239517549962407,2272476695390186,62689.60,2022-05-16 04:06:30,0
Lori Bates,Beth Dennis,1934-04-27,2236084986773584,2280823536316435,49151.20,2022-04-11 01:33:55,0
Harry Mccullough,Devon Wallace,1988-01-29,5126185040514652,2716041207540514,17429.43,2022-03-08 08:49:34,0
Jasmine Hunter,Emily Mays,1929-09-20,2230979529910609,5490161701788438,45864.24,2022-11-18 19:14:48,0
Sherry Smith,Amber Lewis,1998-01-26,2274386638046902,2295528092608777,29353.67,2022-06-27 20:16:01,0
Nancy Fox,Joshua Hancock,1989-06-18,2229153409838776,5521059088972125,61668.92,2022-05-17 04:22:41,0
Angela Nunez,Brian Brock,1974-08-22,5282930065636173,2449943107252617,56357.14,2022-09-22 13:55:18,0
Kimberly Palmer,Robert Long,2013-08-08,2251558152832589,2499060820209441,72248.61,2022-06-09 00:18:57,0
Heather Burnett,Carol Ford,1971-07-28,2280927161653689,2598519944356222,585.11,2022-10-13 21:45:11,0
James Medina,Brenda Taylor,1993-01-15,5290520163245876,2719908094826544,45373.92,2022-08-22 01:02:39,0
Michael Smith,Carmen Adams,1983-02-26,2506012452071590,5314761220173113,5097.67,2022-10-29 06:57:45,0
Sabrina Jenkins,Mike Mitchell,2015-07-07,5446948391968915,2230873216202281,7720.68,2022-05-28 09:17:26,0
Lori Sullivan DDS,Jenna Bowen,1988-06-25,2708099851127731,2719194970568944,11501.95,2022-08-28 05:22:04,0
James Nguyen Jr.,John Meyer DVM,1922-02-11,2341999095540503,2325018941979375,38459.43,2022-04-06 12:07:23,0
Isaac Caldwell,Amanda Wiley,1913-10-06,2238622109368754,2360407277421670,6101.27,2022-01-03 06:17:23,0
Robert Lewis,Robert Meza,1920-10-01,2557712549218413,2256795959585888,61881.71,2022-11-09 22:04:45,0
Shannon Hayes,James King,1937-11-20,2237072753461516,2271639238440583,89657.52,2022-09-08 23:06:35,0
Joseph Banks,Jennifer Smith,1994-03-04,2326447644421188,2641157010125804,3980.60,2022-10-25 06:52:48,0
Daniel Garcia,Jessica Li,2011-10-14,2719196539982797,2233505080092060,76085.26,2022-02-20 11:12:09,0
Brandon Sutton,Kimberly Webb,1941-09-04,5369364015489812,2280748140635294,34298.17,2022-01-21 21:15:39,0
Matthew Sherman,Kevin Copeland,1971-01-10,2636851135078974,2272186087476093,13633.96,2022-09-09 23:04:03,0
Joshua Thompson,Jeffrey Lindsey,1986-09-05,2268596060170438,2707419126975394,31607.92,2022-08-30 14:59:22,0
Jenny Kramer,Dr. Kristin Rangel,1907-11-08,2720665567775247,5250312479573151,21149.62,2022-11-17 06:18:15,0
Brett Jackson,Christopher Cummings,1975-10-16,2276840263200554,2287233974883412,16108.62,2022-07-14 10:37:11,0
Melissa Wilson,Andrea Cole,1969-12-04,5423523868798942,2707824807675207,64860.49,2022-10-11 05:40:23,0
James Walker,Rhonda Freeman,1986-01-18,5490830212679969,2335337206745083,24106.55,2022-03-10 00:17:50,0
Chad Smith,Harry Carter,1974-11-10,2247352636574497,2450931340118691,83250.35,2022-10-04 05:03:41,0
Robert Ho,Stephanie Jackson,2012-05-27,2285802456471268,2701802447405991,28151.66,2022-08-20 01:30:13,0
Courtney Sanchez,Lori Lee,1935-08-04,2277744409988230,5472306341927746,52736.32,2022-06-19 14:09:00,0
Kathryn Miranda,Christopher Stone,1959-08-27,5131942935769640,5397069071012137,13361.85,2022-04-27 21:58:53,0
Michael Fernandez,Cory Butler,1988-07-20,2296021313696440,2298288658064298,7276.37,2022-02-25 00:00:22,0
Julie Johnson,Andrew Collier,2003-01-19,2288350391574892,2273472946673081,22952.73,2022-06-09 05:02:47,0
Megan Young,Michael Stewart,1915-08-09,2227692828635489,2237119230071010,84797.76,2022-07-31 23:02:50,0
Rachel Brown,Christina Taylor,2004-03-21,2268326600913141,5509703397461769,49483.80,2022-02-05 17:45:42,0
Dr. Darren Marsh MD,Ashley Harris,1936-06-06,5557669701121921,2720174542486699,49754.67,2022-04-14 18:58:03,0
Dr. William Webb,Julia Ewing,1969-01-14,2497845955715382,2705532254436062,48404.73,2022-07-04 00:26:49,0
